"Member.id","SEC","FEH","MT","SEX","AGE","EDU","HS","CHILD","CS","Affluence.Index","No..of.Brands","Brand.Runs","Total.Volume","No..of..Trans","Value","Brand.Runs.Trans","Vol.Tran","Avg..Price","Pur.Vol.No.Promo....","Pur.Vol.Promo.6..","Pur.Vol.Other.Promo..","Br..Cd..57..144","Br..Cd..55","Br..Cd..272","Br..Cd..286","Br..Cd..24","Br..Cd..481","Br..Cd..352","Br..Cd..5","Others.999","Pr.Cat.1","Pr.Cat.2","Pr.Cat.3","Pr.Cat.4","PropCat.5","PropCat.6","PropCat.7","PropCat.8","PropCat.9","PropCat.10","PropCat.11","PropCat.12","PropCat.13","PropCat.14","PropCat.15","probability","probability.1"
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818,0.708333333,334.38,10.19,1,0,0,0.38,0.13,0,0,0,0,0,0,0.49,0.23,0.56,0.13,0.07,0.5,0,0,0,0,0,0,0.03,0,0.13,0.34,0.335983754047849,0
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.5,0.625,349.38,12.03,0.89,0.1,0.02,0.02,0.08,0,0,0,0.06,0,0.14,0.7,0.29,0.55,0.09,0.06,0.46,0.35,0.03,0.02,0.01,0,0.06,0,0,0.08,0,0.374347200323309,0
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950,0.587301587,366.67,8.44,0.94,0.02,0.04,0.03,0.55,0,0.03,0,0,0,0.02,0.38,0.12,0.32,0.56,0,0.24,0.12,0.03,0.01,0.01,0,0,0.02,0,0.56,0,0.569612444047221,1
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114,1,375,7.6,1,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0.4,0.6,0,0.4,0,0,0,0,0,0,0,0,0.6,0,0.0507700285477544,0
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591,0.461538462,638.46,7.12,0.61,0.14,0.24,0.05,0.14,0,0,0,0,0,0,0.81,0,0.05,0.14,0.81,0.81,0,0,0.05,0,0,0,0,0,0.14,0,0.173290723336035,0
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.5,0.634146341,443.29,9.38,1,0,0,0.08,0.07,0,0,0,0,0,0,0.86,0.22,0.45,0.07,0.27,0.49,0.1,0,0.01,0.07,0,0,0,0,0.07,0.27,0.315704243457362,0
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.5,0.653846154,382.69,10.13,0.98,0.02,0,0.45,0.05,0.01,0,0,0,0,0,0.5,0.07,0.66,0.05,0.23,0.82,0,0.02,0.01,0,0,0,0,0,0.05,0.1,0.242982700345236,0
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.5,0.32,372,6.12,0.94,0,0.06,0.04,0.79,0,0,0,0,0,0,0.17,0.04,0.04,0.9,0.02,0.06,0,0,0,0,0,0,0.01,0,0.9,0.03,0.234292790634241,0
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.5,0.444444444,981.11,11.75,0.9,0.1,0,0.39,0,0,0,0,0,0,0,0.62,0.11,0.89,0,0,0.7,0.28,0,0,0.02,0,0,0,0,0,0,0.361747576377161,0
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.5,0.722222222,414.17,13.29,1,0,0,0.07,0.12,0,0,0,0,0,0.4,0.41,0.61,0.1,0.12,0.17,0.24,0.46,0.15,0,0,0,0,0,0,0.12,0.03,0.483982653253836,0
